the_geom,cartodb_id,date_created_aest,spot_id,longitude,latitude,spot_name,spot_type,user_perspective,safe_category,unsafe_category,description,cycling_stress_rating,time_of_day,frequency,video_embed,rider_type,gender_description,submitter_name,image_attachment,no_of_comments,no_of_likes,activity,comment_1,comment_2,comment_3,comment_4,comment_5,comment_6,comment_7,comment_8,comment_9,comment_10,comment_11,comment_12,comment_13,comment_14,comment_15,comment_16,comment_17,comment_18
0101000020E61000007235B22B2D20624071E9D29E16EB42C0,1227,2020-04-20 22:09:00+00,380072,145.005514,-37.83662782,Williams Road shared path,Unsafe Spot,cycling,N/A,Cycle lane ends,Shared path on Williams road ends at Bruce street after very Narrow strip and a blind corner on the footpath. Very dangerous for pedestrians. No provision of cycle lanes on Williams road or Bruce st despite end of cycle lane ,2,anytime,daily,,very confident,,Nick,,1,6,7,"Elizabeth: Agree, not helped if you are going uphill.",,,,,,,,,,,,,,,,,
0101000020E61000005BDFD1109F1E6240DB4157E8A4E942C0,1228,2021-04-20 09:07:00+00,380192,144.9569172,-37.82534508,"Normanby Road, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"This is the recommended (and really the only) bike route for people cycling to the city from Port Melbourne, Albert Park and parts of St Kilda. Especially in peak hours, it's very difficult to ride here - keep safe from road traffic, not making it dangerous or uncomfortable for pedestrians but also being able to keep cycling.",1,anytime,fewtime week,,,,,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E61000000FB33CB4341F6240D03DB16F23E642C0,1230,2021-04-20 09:28:00+00,380196,144.9751836,-37.79795643,"Nicholson Street / Johnston Street,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Have to wait for traffic in outer lane to move over and merge into single lane to be able to continue riding. I notice lots of delivery riders here have very close calls.  ,4,evening peak,fewtime week,,very confident,,,,1,8,9,David: I have seen two people hit at this intersection by vehicles. Extremely unsafe.,,,,,,,,,,,,,,,,,
0101000020E6100000454D4FB3DB2162400F8A7B6628F142C0,1257,2023-04-20 12:43:00+00,381124,145.0580689,-37.88404542,"Princes Highway,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"no connection through to Koornang Road and no connection to the footpath to allow for a SUP provision at this intersection. Given this forms a key connection to the Carnegie Town Centre, you'd expect support crossing Dandenong Road.",3,anytime,fewtime week,,very confident,,Ben Thomson,,1,2,3,Don: Why not use same markings and cycle lights format as in murrumbeena road and princes highway intersection. Probably more cyclists use this spot.,,,,,,,,,,,,,,,,,
0101000020E61000005841672D601C62402056C9117CEC42C0,1258,2023-04-20 14:19:00+00,381186,144.8867404,-37.8475363,"Melbourne Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Cycling lane down to 30cm ,4,not relevant,fewtime week,,somewhat confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000008B660A421E206240A034164576DE42C0,1231,2021-04-20 09:36:00+00,380198,145.0036936,-37.73798431,Murray Road / High Street Victoria,Unsafe Spot,cycling,N/A,Cycle lane ends,"The bike lane goes from being a good meter wide to disappearing once you cross to the west side of High Street. Drivers pass so so close to cyclists here. Terrifying. The footpath usually has too many pedestrians on it to be able to ride on, even just for a little bit. ",4,anytime,once week,,very confident,,Stella,,2,3,5,Agreed I use this area a bit. needs to be reduced to one lane traffic only.,"Agree, not to mention supermarket freight trucks and several buses use it as in access route meaning there's very little room for error on anyone's part. It's also very very stressful driving here as drivers panic-speed into Murray Rd from both grocery and huge market carpark. It isn't working for anyone, some clear priority and separation would be welcome.",,,,,,,,,,,,,,,,
0101000020E61000005A3794903E2362404B7C28B004E742C0,1234,2021-04-20 13:43:00+00,380299,145.1013873,-37.80483057,"Union Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Cycling lane ends 30m before the roundabout. Particularly dangerous as this is uphill where cyclists are likely to be travelling slower than normal, and the crest may obscure drivers' vision of cyclists who have to marge with traffic.",4,anytime,fewtime week,,very confident,,Henry,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000F20A444F4A0B624038C8FBA3B51243C0,1235,2021-04-20 14:30:00+00,380340,144.352821,-38.14616823,"La Trobe Terrace, Geelong Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"The new cycle priority along Villamanta and some of the other streets is great but the crossing of LaTrobe terrace does not provide priority for cyclists and also leads to conflict with pedestrians. 

Slow cycle times of lights leads to lots of crossing against the red. Also sequence of eastern and western crossings lead to having to wait two cycles sometimes.

No Bike lantern.",1,anytime,fewtime week,,very confident,,David,,2,1,3,Daniel Keane: Yes I agree.,"LP: Agree, the crossing of Latrobe tce is a weak point which is really diminishes the value of the link. especially the routing at both sides from the bike path up onto the footpath, to cross as a pedestrian, rather then treating the bike as a separate mode",,,,,,,,,,,,,,,,
0101000020E6100000853A51B798206240F0BDE04F64F342C0,1236,2021-04-20 17:19:00+00,380416,145.0186421,-37.90149878,"North Road,  Victoria west of hawthorn rd",Unsafe Spot,cycling,N/A,Cycle lane ends,"Cycle lane ends or hit a retainer wall at top of hill, so slower than cars. ",3,morning peak,fewtime week,,very confident,,,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E610000090B3FA34F82362403B8244A88C1043C0,1237,2021-04-20 18:08:00+00,380429,145.1240487,-38.12929252,"Gould Street, Frankston Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Bike lane abruptly ends at intersection. Suggest extending bike lane past intersection before ending it.,2,morning peak,once week,,very confident,,Richard Bowen,,3,5,8,"Dave: Agreed.

This is a 70km/h zone and cars like to drift all over road.

Very dangerous",Mike Cahill: The end of the bike lane coincides with a turn and a street entry. A very unsafe situation.,"Michael: No bike lane on Nepean Highway from Gould St to Mordialloc Creek.

This could become even more of an issue if level crossing projects takes the bike lane off Station street. Shared user paths not really practical for quick riders or commutes > 20km.",,,,,,,,,,,,,,,
0101000020E61000004703780BA4216240C3BF21B7D3D442C0,1238,2021-04-20 19:10:00+00,380469,145.051275,-37.66271104,"Childs Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,The Cycle lane ends. Even if you get off the bike and walk across the road there's no continuing track,3,,never,,very confident,,Charlie ,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000F8D2252DE6216240E25B58375ED242C0,1239,2021-04-20 19:13:00+00,380474,145.0593477,-37.64350025,"Findon Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,The Cycle lane ends which forces you onto the Narrow road,4,anytime,once month,,very confident,,Charlie ,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000008445EAE21B1C6240611B127320E642C0,1240,2021-04-20 20:25:00+00,380481,144.8784041,-37.79786528,"Barkly Street,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"The bike lane ends, road Narrows & it carries a lot of traffic.  Being from SA, I’m more than happy to ride on the footpath, I’m happy to have that discussion with police.",4,anytime,fewtime week,,very confident,,Simon,,1,0,1,"Simon, i'm from Victoria, so I don't care about riding on footpaths. I want lazy councils and the govt to get their act together.",,,,,,,,,,,,,,,,,
0101000020E610000091E398767B21624082CEBDEA75E842C0,1241,2021-04-20 21:13:00+00,380507,145.0463212,-37.81609854,"Auburn Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,The Cycle lane ends and in heavy traffic is very dangerous ,2,anytime,daily,,very confident,,KE,,2,4,6,Catherine Farrell : This area is especially dangerous during peak times when cyclists continuing ahead have to contend with cars moving into the left turn slip way.,"Strong agreement that this intersection is very dangerous for cyclists, who are very vulnerable when continuing ahead into Wrixon St from cars turning left into Barkers Road.  ",,,,,,,,,,,,,,,,
0101000020E610000094D0A79F811F624078431A1538EA42C0,1242,2021-04-20 21:26:00+00,380526,144.9845732,-37.8298365,"Anderson Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"No cycle lane for downhill section, cars will overtake with very little clearance",3,morning peak,daily,,very confident,,,,2,5,7,"Drive on the middle of lane. Thus says out of car door zone and makes it harder to pass. Cars shouldn't be going faster than bikes downhill here.
",doesn't mean the cars still don't overtake you to the danger of the cyclist. There needs to be separation of vehicles and cars in both directions.,,,,,,,,,,,,,,,,
0101000020E6100000B6566AACB32362403993FCA96DE642C0,1254,2023-04-20 08:15:00+00,381004,145.1156828,-37.80022168,"Box Hill Crescent,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Suitable location for pedestrian crossing, to assist novice cyclists using cycling routes crossing over this road",2,anytime,fewtime week,,very confident,,JCP,,2,3,5,Alan: It should be signalised as it is the major Active Transport Route to the Koonung Sec College which is about to get a $60m upgrade. A pity the Gov departments live in silos so installing this will not be part of the upgrade. It is also the link to and from the Gawler Chain Trail (see Arnott St) to the Koonung Creek Trail,It should be signalised as it is the major Active Transport Route to the Koonung Sec College which is about to get a $60m upgrade. A pity the Gov departments live in silos so installing this will not be part of the upgrade. It is also the link to and from the Gawler Chain Trail (see Arnott St) to the Koonung Creek Trail,,,,,,,,,,,,,,,,
0101000020E610000087F5EBF33D2562407DDAB830981A43C0,1243,2022-04-20 00:20:00+00,380570,145.1638126,-38.20776948,Golf links rd to Sommerville ,Unsafe Spot,cycling,N/A,Cycle lane ends,The Pen link trail and Western Port Bay trails badly need to be linked up. All that needs to be done is continue the trail along the rail line from where it ends at Golf links rd level crossing to Sommerville station and we would have continuous trail all the way to Balnaring ,4,anytime,fewtime week,,interested concerned,,Paul Lloyd ,,6,3,9,Joseph: Fultons Road and Hawkins Roads are Narrow and busy. Please install the link to Somerville.,"Paul: Oh god yes.
My son lives in Frankston (with me) and Hastings (with his mother), but I can't think of any safe way to get to/from by bike. It's terrifying enough being in a car, but on a bike in that country stretch...",Cyclist40: Agree. This is the missing link for a ride all the way from Port Melbourne to Wonthaggi,David: This is a missing link and major opportunity to create a continuous trail from Melbourne to Wonthaggi (including the ferry to Phillip Island). The Anderson to San Remo path has just been completed so this is now the last missing link to join up with the Bass Coast Rail Trail.,"Trevor Hunt: There is a good, wide shoulder on Frankston-Flinders Rd between Somerville and the Peninsula Link Trail at Baxter (Pen Link overpass). Unfortunately, the shoulder closes out at the rail crossing near Hawkins Rd, and the challenge of the Coolart Rd/Frankston-Flinders Road intersection is fraught. ","David: Further to my comment above, I rang the Bass Coast council to see if they were at least aware of this opportunity, but I just got the run around with no one interested, and a suggestion that I should ring Cycling Australia. It's amazingly short sighted, as this journey could be made in a day from the Melbourne eastern suburbs and require an overnight stay in Wonthaggi.",,,,,,,,,,,,
0101000020E610000061325530EA2362408179C8948FE942C0,1244,2022-04-20 08:31:00+00,380614,145.1223375,-37.82469425,"Station Street,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,There are bikes painted on Albion and a bike path past the Box Hill pool and and a cycle lane on Mt Albert Rd but there is no connection between these. Cyclists must use the footpath (illegally) to use the pedestrian lights to connect from Albion up Kent to the bike path or risk a right hand turn in traffic on Station st where there is no safe place to wait,3,morning peak,fewtime week,,very confident,,Melissa,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000569929ADFF216240C29791936CE742C0,1245,2022-04-20 08:47:00+00,380629,145.0624605,-37.80800099,"Anniversary Trail,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Crossing from one section of the Anniversary trail to the other can be dangerous, especially heading north. Cars parking too close to the end of the trail block visibility of traffic heading east ",1,morning peak,fewtime week,,very confident,,Melissa,,3,5,8,"Jerry: Very quiet street, not much to worry about. Been riding the anni for about 10 years and have never seen a car on this street.",Greg: Cars / vans occasionally park across the entry and exit gates on the cycle path,Barriers on the path should be removed. Path should have give way priority and a raised threshhold should define the crossing. ,,,,,,,,,,,,,,,
0101000020E6100000AB590CC36C2762401C180EBE0FF342C0,1246,2022-04-20 15:56:00+00,380770,145.2320266,-37.89891792,"Ferntree Gully Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,The bike path from Eastlink to Stud Rd suddenly ends. Ridiculous!,4,anytime,once month,,very confident,,Ricki,,1,3,4,It's horrible around this bus stop,,,,,,,,,,,,,,,,,
0101000020E61000002598C51FE02262404664F59A60F342C0,1247,2022-04-20 18:38:00+00,380795,145.0898589,-37.90138566,Djerring Trail @ Oakleigh Station,Unsafe Spot,cycling,N/A,Cycle lane ends,The Djerring Trail comes to an abrupt end and cyclists are forced onto the road with buses and through a taxi rank. This is an accident waiting to happen,4,anytime,fewtime week,,somewhat confident,,,,0,9,9,,,,,,,,,,,,,,,,,,
0101000020E6100000A30C0BA4FA216240E18D37BF02F442C0,1248,2022-04-20 22:46:00+00,380872,145.0618458,-37.90633383,"Murrumbeena Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Heading south the cycle lane runs out just where the cars start turning left in to North Rd This crossing was safer before the median was put in some years ago.
",4,anytime,fewtime week,,very confident,,,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000C063D3A51A246240F40CE9092EF542C0,1249,2022-04-20 23:30:00+00,380894,145.1282529,-37.91546749,"Princes Highway Service Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Wehn crossing from here to go to North side of Monash University or CSIRO, there is no safe way to go from here. Onto the pavement, cross in the pedestrian crossings is what is done but it creates dangerous interactions with pedestrians and incredibly long crossings times.",3,morning peak,fewtime week,,very confident,,,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E610000011A7936CB52762401EA23448FFE842C0,1250,2023-04-20 07:13:00+00,380935,145.2408965,-37.82029059,Lena Grove end of Heathmont rail trail,Unsafe Spot,cycling,N/A,Cycle lane ends,"There is no connection between the Heathmont rail trail and the Box Hill to Ringwood rail trail. The Heathmont rail trail ends on a local street with no signage. Bedford rd has on road cycle lanes, not ideal for riding with children. This is a missing link that would enable local families and others to access the Heathmont trail",2,anytime,fewtime week,,very confident,,Melissa,,1,5,6,Rode this recently and go onto the Mulumm Mulumm trail but it does take some exploring to get to the Mulumm trail from this point....,,,,,,,,,,,,,,,,,
0101000020E6100000F79562A29C27624043522C337CE842C0,1251,2023-04-20 07:14:00+00,380938,145.2378704,-37.81629028,"Bedford Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,On road cycle lane on Bedford st disappears through the intersection with Great Ryrie st and across the rail line,2,anytime,fewtime week,,very confident,,Melissa,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000BB174E882F286240C4249EE4F5EA42C0,1252,2023-04-20 07:17:00+00,380942,145.2558023,-37.83562906,"Armstrong Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,I didn't even know there was a section of the Heathmont Rail trail here linking Dandenong creek trail and the Heathmont rail trail along the train line and I have ridden this 100s of times. Poor signage here. I ride up Armstrong rd to make this connection,1,anytime,fewtime week,,very confident,,Melissa,,2,2,4,Arthur: I don't particularly have any issues riding through the car park as long as you are aware of any cars pulling out of their parking bays.,P: Necessary slow point. Be aware of cars parking but otherwise a safe spot to ride. ,,,,,,,,,,,,,,,,
0101000020E6100000DA2BE22A8522624011AF25C3F5E342C0,1253,2023-04-20 08:09:00+00,381003,145.0787558,-37.78093757,"Bulleen Road Offramp,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,High vehicular traffic in close proximity to pedestrian/cycling path.,2,anytime,fewtime week,,very confident,,JCP,,1,5,6,"Pete: Poor sightlines and provision on intersection controlled crossing, with drivers frequently unaware of their obligation to give way when turning left.",,,,,,,,,,,,,,,,,
0101000020E6100000491861E5AB21624039ECDF7161ED42C0,1256,2023-04-20 10:08:00+00,381061,145.0522334,-37.85453628,"Burke Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"no cycle lane between Malvern Road and trail connection.  there is a small Shared user path that spans a portion of this with no connection back to the road on either end. safer to stay on the road as opposed to moving between road, SUP and road.",4,evening peak,fewtime week,,very confident,,Ben Thomson,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000E48EED6B531F62409EA8191029EC42C0,1261,2023-04-20 22:47:00+00,381320,144.9789333,-37.84500314,"Commercial Road, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Bike lane ends and traffic cuts in front of you to turn left from St Kilda road into Commercial Rd. As a cyclist you have to merge right into traffic to stay on St Kilda rd.,1,anytime,fewtime week,,very confident,,Helen Young ,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E610000004C35ECD26216240D9CE18624CE942C0,2783,2020-04-20 17:38:00+00,379992,145.0359866,-37.82264353,"Burwood Road,  Victoria",Unsafe Spot,cycling,N/A,Narrow,Road Narrows and cars drive too fast,3,evening peak,daily,,very confident,,,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000004DAA6C0EC61E624069A2F8C6CAE742C0,1485,2020-05-20 11:10:00+00,395160,144.9616768,-37.81087577,"Elizabeth Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Car sometimes try to pass bike riders here. There is not enough space for two lanes of traffic.,3,evening peak,daily,Thin piece of road where cars sometimes try to pass you. It is very tight.,very confident,,EB,,0,4,4,,,,,,,,,,,,,,,,,,
0101000020E61000004B71FA1F05236240FC29025AC2EA42C0,1486,2020-05-20 11:16:00+00,395174,145.0943756,-37.83405614,"Cnr Blackburn Road and Canterbury Road, Blackburn,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Blackburn cycle path stops at Canterbury Road intersection then commences again just after Windermere Crt. with no footpath as two road lanes converge into one lane.,4,anytime,once fortnight,,very confident,,David Hassett,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000007D0569C622246240BAA7A3CACDE442C0,1487,2020-05-20 11:27:00+00,395228,145.129245,-37.78753026,Bus lane ends at Council St,Unsafe Spot,cycling,N/A,Cycle lane ends,"The wide cyclable bus lane that comes all the way from Springvale Rd ends here, forcing cyclists into traffic for 3 major intersections before starting again after Elgar Rd.",3,anytime,daily,,very confident,,Fane,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000954737C2221F62401D6E6EE924E842C0,1488,2020-05-20 11:53:00+00,395328,144.972993,-37.81362646,"Collins Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Road Narrows around tram stop & cycle lane continues, but taxis park all the way up (way outside the taxi standing zone) abruptly blocking off the cycle lane & forcing you into the road just as it Narrows.  Happens to me every time & is worst in the evenings.",3,evening peak,daily,,very confident,,Katherine,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000B2C34E671D1F6240E4CC444B7DE842C0,1489,2020-05-20 11:56:00+00,395352,144.9723393,-37.81632367,"Batman Avenue, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,There is no safe way to exit the bike path at this intersection. You're forced to leave the curb when it is busy with MCG fans. I have a horrible facial injury from the hidden grid which is off the curb. ,1,evening peak,fewtime week,,very confident,,Holly,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000008E3056E54C0B624013E55EA2F21443C0,1490,2020-05-20 12:01:00+00,395393,144.3531367,-38.16365461,"Barwon Terrace, Geelong Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"When riding towards Geelong CBD, the lane suddenly tops after the bridge. There is no safe was to re-enter the traffic along with cars.",3,anytime,fewtime week,,very confident,,,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E61000000C1DE0EED1296240E774D513C8EC42C0,1491,2020-05-20 12:12:00+00,395461,145.3068766,-37.84985588,Mountain Hwy Towards Liverpool Rd,Unsafe Spot,cycling,N/A,Cycle lane ends,"Cars and Bikes share the road until 100m before the roundabout.  A short bike lane starts approx 100m for (say) 70m.  ie No sharing the road.  Then the biCycle lane ends, road Narrows with bike sharrows.  Only a very brave or stupid cyclist would move into the lane.  It's uphill in this location.  Cyclists are going slowly. ",4,anytime,fewtime week,,very confident,,David,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000DA9BCE04F9236240927A0DC9E2E842C0,1492,2020-05-20 12:14:00+00,395474,145.1241478,-37.81942094,"Box Hill to Ringwood Rail Trail,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,I have to get off and walk thru Box Hill Central to get to Thurston on the otherside where I can get on my bike again to ride to the city,3,anytime,fewtime week,,very confident,,Alan,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000FE6FDBAD1B1C624076498378B0ED42C0,1493,2020-05-20 12:15:00+00,395485,144.8783788,-37.85694796,"Kororoit Creek Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,Cycle lane converges into traffic roundabout with high traffic congestion.,4,evening peak,daily,,very confident,,Charles Mellish,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000002C6C617113226240B1FF95F0DFE442C0,1494,2020-05-20 12:23:00+00,395536,145.0648734,-37.7880841,"Burke Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"South > North bike lane ends abruptly, need to merge with two lanes of heavy traffic.",3,anytime,fewtime week,,very confident,,Rod,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000742909E46D0A624054543F67B91943C0,1495,2020-05-20 12:27:00+00,395548,144.3259144,-38.20097056,"Pioneer Road, Geelong Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"The bike lane disappears into a turn left lane for cars, leaving no space for cyclists wishing to keep straight. Very dangerous intersection",4,anytime,once week,,very confident,,Flo,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E61000001C0181736B166240E8FA3E1C24F142C0,1496,2020-05-20 12:29:00+00,395555,144.7006166,-37.8839145,Federation Trail - Old Geelong Road Crossover,Unsafe Spot,cycling,N/A,Cycle lane ends,"There is expectations that major trails have clear planned and developed routes.  At this location the Trail virtually ends at intersection. Riders need to cross 4 intersections with lights, before reach the next section of the trail.  This intersection has long Light Change sequences.  Waiting over 10min to get across. Riders try to cross without lights - dangerous due to poor Design.",4,anytime,once month,,somewhat confident,,Maxum,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E61000008F78680EFF146240469A15DDBCF542C0,1497,2020-05-20 12:40:00+00,395579,144.6561348,-37.91982616,Unconnected- Werribee River Trail,Unsafe Spot,cycling,N/A,Cycle lane ends,"If you cycle the Werribee or Federation Trails - they effectively end at this point and turn into a rough gravel track with no signage. There is a great concrete track on the West side of river, but need to carry your road bike down to the river and under the bridge.  Only a track for MTB”s.  Time to extend the Federation Trail.",3,afternoon,once month,,somewhat confident,,Maxum,,0,3,3,,,,,,,,,,,,,,,,,,
0101000020E61000002E9A84C1EB1E62402DC9092C63E942C0,1498,2020-05-20 12:42:00+00,395584,144.9662788,-37.82333899,David Thiele,Unsafe Spot,cycling,N/A,Cycle lane ends,"The Southbank Boulevard cycle lanes are a great idea, but poorly executed (see the numerous comments already regarding intersections).
In addition, if the aim is to get cyclist off the Southbank promenade, then will need to give priority to bikes through the traffic lights (so you are able to ride the entire length with green lights - say at 18kmh).  Otherwise, rider will just stay on Southbank.",2,evening peak,fewtime week,,very confident,,David,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000B21188D7F5186240FA3ADB690CF342C0,1499,2020-05-20 12:47:00+00,395590,144.78001,-37.89881633,Extend the Bay Trail,Unsafe Spot,cycling,N/A,Cycle lane ends,"Time to extend the Bay Tail through Point Cook and Werribee South. There is a gravel track 20m from the end of trail, but in the Costal Park reserve.  Come on!!! It cannot be that hard to use this existing track rather than re-route the Trail.",2,late morning,once fortnight,,somewhat confident,,Maxum,,2,1,3,"Charles Mellish: Agree, I commute from Saltwater Coast and it would reduce cycle time yo and from city by 10 minutes each way and reduces distance by about 10km. It would be greatly appreciated. ","Eugene Hobbs: Wyndham council lists a path through Sanctuary Lakes as a bike path. Yet it is listed along the footpath in front of houses with the potential for kids to run out.  The path is frequented by Sanctuary Lakes vehicles, registered, unregistered, lawnmowers plus golf buggies, and invariably blocked with builders vehicles, the only option is to ride on the single lane road",,,,,,,,,,,,,,,,
0101000020E6100000586A076D03256240C0FEF34D7DF742C0,1515,2020-05-20 23:04:00+00,396353,145.1566682,-37.93351149,"Princes Highway Service Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"the service road ends and you are forced to ride out into 6 lane highway, between left turn lane and straight ahead to lane to continue into city bound lane",3,anytime,fewtime week,,very confident,,Dominic,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E61000008AB8EF07F2246240364D4CD545F742C0,1516,2020-05-20 23:06:00+00,396355,145.1545448,-37.93181864,"Princes Highway,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,forced out into main highway ,3,anytime,fewtime week,,very confident,,Dominic,,0,1,1,,,,,,,,,,,,,,,,,,
0101000020E6100000C767B27F9E1E62404DBBB974A3E642C0,1500,2020-05-20 12:53:00+00,395598,144.956848,-37.80186328,"Peel Street, Melbourne Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"The exit from the roundabout into Peel St is at a right angle. The bike lane markings end just at that corner, and then begins again 10 metres after. Left turning traffic cuts across this corner, leaving no space for riders. I usually merge into the traffic lane well before but for this I cop a lot of anger from drivers. See photo below for the situation.",4,anytime,daily,,very confident,,Stefan,https://crowdspot-attachments.s3.amazonaws.com/attachments/spot-395598-RzUdaWE.jpg,2,4,6,"Stefan: A solution to that could be a head start for bikes so they can safely pass this spot before any cars, or alternatively reduce the vehicle lane to just one lane and install a concrete barrier between bike path and actual road.","Raymun: The bike lane resumes after the corner but then ends again as it approaches the intersection with Queensberry St. Furthermore, cars are often parked over the bike lane just prior to this intersection, forcing cyclists into traffic. ",,,,,,,,,,,,,,,,
0101000020E6100000FDE0D7A30B1B624093D6E783C8EC42C0,1502,2020-05-20 13:19:00+00,395693,144.8451709,-37.84986924,Millers Road - bike lane merge,Unsafe Spot,cycling,N/A,Cycle lane ends,Riding south on Millers Rd approaching the round about the bike lane ends abruptly.  Trucks and Busses in the right next to bike lane and there is nowhere to go but on to footpath.  Is this the only way to travel though a roundabout now for cyclists????? Very disappointing and dangerous.,4,afternoon,once month,,somewhat confident,,Maxum,,0,2,2,,,,,,,,,,,,,,,,,,
0101000020E6100000392284EC21206240D24D075765E442C0,1503,2020-05-20 14:54:00+00,395860,145.0041411,-37.78434265,"Heidelberg Road,  Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"bike lane ends and tells cyclists to ride on footpath.  Footpath is too Narrow and has several lightpoles.  Pedestrians act negatively when there is a bike on the footpath which is fair enough to an extent. 
There should be a green painted bike lane so that cars are warned.",4,anytime,fewtime week,,very confident,,Hannah,,0,0,0,,,,,,,,,,,,,,,,,,
0101000020E6100000A74E513F391762401BD0DA8634CA42C0,1504,2020-05-20 15:54:00+00,395929,144.7257382,-37.57972799,"Horne Street, Sunbury Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,"Each intersection on this road has bike lanes, and they disappear once past the intersection. The road is Narrow, and the drivers aggressive and impatient towards cyclists. This road is the main thoroughfare into, and around, Sunbury so hard to avoid of you ride for travel. ",4,anytime,fewtime week,,very confident,,Alistair,,1,0,1,Edwin Flynn: Totally agree about aggressive car drivers in SUNBURY. That is the reason I rarely ride my bike now.  I would love to ride often but drivers in SUNBURY are far too aggressive toward cyclists. Both physically intimidating buy driving far too close and fast and verbally intimidating as well.  I've had a chicken bone thrown from a utility . I struck me with some force as it drew blood where it hit me.  Fix driver attitudes and I may get back on my bike. ,,,,,,,,,,,,,,,,,
0101000020E61000009BE216983A0C624099D984070F1743C0,1505,2020-05-20 15:57:00+00,395930,144.3821526,-38.18014616,"Fellmongers Road, roundabout Geelong Victoria",Unsafe Spot,cycling,N/A,Cycle lane ends,We have cycle lanes that disappear and is very busy intersection that a lot of car will not allow you to merge and drive up very close,4,evening peak,fewtime week,,interested concerned,,Kristen Czerkiewicz,,0,0,0,,,,,,,,,,,,,,,,,,
